time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
1,0.0,178.0,512,6,73,,,,,,,,,,,,
2,0.0,182.0,1024,15,64,0.0001,-0.009381803363794461,0.0,0.2709488014690578,-1.7908223941922188,-3.338998794555664,0.0025704075,10,0.2,0.02361075021326542,,
3,0.0,180.75,1536,24,62,0.0001,-0.007680158503353596,0.0060546875,0.08428600209299475,-1.7881258934736253,-1.6124141216278076,0.0023868051,20,0.2,-0.024629022926092148,,
4,0.0,181.8181818181818,2048,33,61,0.0001,-0.011900822170719038,0.015234375,0.022065324563300237,-1.7835413366556168,-0.7276033163070679,0.006867162,30,0.2,-0.018892697989940643,,
5,0.0,179.71428571428572,2560,42,60,0.0001,-0.004280415421817452,0.0,0.020910402457229794,-1.773800066113472,-0.8845279216766357,0.0021297045,40,0.2,-0.02081754431128502,,
6,0.0,180.05882352941177,3072,50,60,0.0001,-0.008553289866540581,0.0,0.010379056999227032,-1.7741099774837494,-0.3731973171234131,0.002682145,50,0.2,-0.025181449949741364,,
7,0.0,179.05,3584,58,61,0.0001,-0.0053657270560506735,0.0,0.006605580495670438,-1.7809646278619766,0.2990584969520569,0.0015734333,60,0.2,-0.02988383173942566,,
8,0.0,180.9090909090909,4096,66,61,0.0001,-0.007693519606254995,0.0,0.007712657327647321,-1.778421626985073,-0.3920567035675049,0.002097094,70,0.2,-0.0343545526266098,,
9,0.0,181.28,4608,75,61,0.0001,-0.009154611389385536,0.0046875,0.0031644793150917396,-1.7734994769096375,-4.4031147956848145,0.0032431292,80,0.2,-0.038939278572797775,,
10,0.0,182.25,5120,83,61,0.0001,-0.006236999609973282,0.0,0.004501306109887082,-1.7745041638612746,-0.7826696634292603,0.0020549837,90,0.2,-0.04047442227602005,,
11,0.0,180.96774193548387,5632,92,61,0.0001,-0.008148175571113825,0.0013671875,0.004766045282303821,-1.772704465687275,-0.5023272037506104,0.0027171401,100,0.2,-0.032279521226882935,,
12,0.0,180.41176470588235,6144,101,60,0.0001,-0.005635609201272018,0.0,0.0076539887108083345,-1.7614558205008506,-2.279837131500244,0.0023233905,110,0.2,-0.026791803538799286,,
13,0.0,180.16666666666666,6656,110,59,0.0001,-0.0052642927970737215,0.0005859375,0.0056884394434746355,-1.7702193468809129,-0.2612600326538086,0.0014407815,120,0.2,-0.04259050637483597,,
14,0.0,181.71794871794873,7168,121,59,0.0001,-0.010126605810364708,0.0123046875,0.004615732966340147,-1.7695961162447928,-1.8233261108398438,0.003352665,130,0.2,-0.05966891348361969,,
15,0.0,182.41463414634146,7680,129,59,0.0001,-0.006974157469812781,0.0,0.0021885229798499495,-1.7646580651402473,-0.5366127490997314,0.0021776115,140,0.2,-0.027182290330529213,,
16,0.0,183.0,8192,137,59,0.0001,-0.005585902187158353,0.0,0.0009577530958267743,-1.7618403762578965,0.08901196718215942,0.0015377713,150,0.2,-0.029562633484601974,,
17,0.0,182.38297872340425,8704,146,59,0.0001,-0.0047489151620538905,0.0,0.0016477295364893507,-1.7604251623153686,-1.6428942680358887,0.0010693661,160,0.2,-0.04140244051814079,,
18,0.0,183.38,9216,155,59,0.0001,-0.006006396759767085,0.0,0.001993958926323103,-1.7621245488524437,-1.4070615768432617,0.0014983444,170,0.2,-0.04371126368641853,,
19,0.0,183.30188679245282,9728,164,59,0.0001,-0.004923387744929642,0.0,0.0009680614777607844,-1.7577435851097107,-1.2021698951721191,0.0016784398,180,0.2,-0.0428755097091198,,
,,,10000,,,0.0001,-0.007656855334062129,0.000390625,0.000911438017283217,-1.7575941994786262,-2.160576343536377,0.0026395428,190,0.2,-0.04247293248772621,0.0,180.8
20,0.0,182.35714285714286,10240,203,50,,,,,,,,,,,,
21,0.0,181.6949152542373,10752,213,50,0.0001,-0.00684491531283129,0.000390625,0.0016765027670771816,-1.7542039275169372,-0.9707392454147339,0.0026043192,200,0.2,-0.03229230269789696,,
22,0.0,181.6290322580645,11264,222,50,0.0001,-0.008235275889455806,0.0001953125,0.0035333128726051655,-1.7522835940122605,-1.7438275814056396,0.0021719725,210,0.2,-0.03499756380915642,,
23,0.0,182.1875,11776,230,51,0.0001,-0.005922090509557165,0.0013671875,0.0007848697485314915,-1.7464227110147477,-0.3823831081390381,0.0020299265,220,0.2,-0.02104502171278,,
24,0.0,181.9402985074627,12288,241,50,0.0001,-0.0063677340978756545,0.000390625,0.0013256226178782527,-1.7362001180648803,-2.8708817958831787,0.002321071,230,0.2,-0.028821252286434174,,
25,0.0,182.0857142857143,12800,251,50,0.0001,-0.008842002123128623,0.00078125,0.0011916341942196595,-1.7189250707626342,-2.426992893218994,0.003448876,240,0.2,-0.019596492871642113,,
26,0.0,182.2876712328767,13312,260,51,0.0001,-0.010050885748933069,0.00703125,0.0009470686552958795,-1.7172796860337258,-0.5994207859039307,0.002139897,250,0.2,-0.042108211666345596,,
27,0.0,182.44,13824,269,51,0.0001,-0.00563404091517441,0.0,0.0012073723257344682,-1.7245101004838943,-0.8554239273071289,0.0025709628,260,0.2,-0.01865381933748722,,
28,0.0,182.44871794871796,14336,280,51,0.0001,-0.008182458975352348,0.009765625,0.0012089735482732067,-1.7160215854644776,-2.0870678424835205,0.0036259906,270,0.2,-0.049297504127025604,,
29,0.0,183.4625,14848,291,51,0.0001,-0.007739549555117265,0.0072265625,0.001680393548849679,-1.7231745958328246,-3.334962844848633,0.0037273322,280,0.2,-0.022100625559687614,,
30,0.0,184.55421686746988,15360,302,50,0.0001,-0.00973076291847974,0.0048828125,0.0009857334904154413,-1.7161370620131493,-7.874744415283203,0.0035975082,290,0.2,-0.01752888225018978,,
31,0.0,184.53488372093022,15872,312,50,0.0001,-0.005871869507245719,0.0001953125,0.0009683721113106003,-1.7191301375627517,-3.9094033241271973,0.001374284,300,0.2,-0.035849593579769135,,
32,0.0,183.9659090909091,16384,321,50,0.0001,-0.011867311276728288,0.00703125,0.0008576662357882014,-1.7239926129579544,-1.465954303741455,0.006624386,310,0.2,-0.03835280239582062,,
33,0.0,184.0989010989011,16896,333,50,0.0001,-0.0037126241863006727,0.0,0.0010614877321131644,-1.7067029029130936,-0.48467373847961426,0.0009232658,320,0.2,-0.02456267550587654,,
34,0.0,183.9255319148936,17408,343,50,0.0001,-0.007115538168000058,0.0,0.0012419812850566815,-1.7123561277985573,-1.3562920093536377,0.0029395027,330,0.2,-0.03593694046139717,,
35,0.0,183.27835051546393,17920,355,50,0.0001,-0.007193517097039148,0.00703125,0.00040653233700140847,-1.6954387739300727,-1.6866848468780518,0.005522021,340,0.2,-0.02123168855905533,,
36,0.0,183.64,18432,366,50,0.0001,-0.007232584618031978,0.0,0.0004354102105025959,-1.709544026851654,-1.0142090320587158,0.0021747295,350,0.2,-0.013192133978009224,,
37,0.0,183.35,18944,379,49,0.0001,-0.006543251808034256,0.0,0.0008727739965252113,-1.7089269772171973,-1.8597564697265625,0.0018564687,360,0.2,-0.03834077715873718,,
38,0.0,183.66,19456,389,50,0.0001,-0.010124046413693577,0.00390625,0.0003973596163632465,-1.7020747661590576,-0.19199371337890625,0.0022536982,370,0.2,-0.017179381102323532,,
39,0.0,184.01,19968,397,50,0.0001,-0.005944077391177416,0.001953125,0.001595817783891107,-1.7098788052797318,-1.1159725189208984,0.0015747749,380,0.2,-0.017356395721435547,,
,,,20000,,,0.0001,-0.004522995441220701,0.0,0.00021838115599166487,-1.7035760492086411,-1.4752676486968994,0.001174907,390,0.2,-0.023032713681459427,0.0,176.6
40,0.0,183.15,20480,435,47,,,,,,,,,,,,
